model,embedding_dim,margin,lam,lr,loss,hits,hit_rate,full_hr,figname
CML,16,0.5,0,0.01,0.22088733315467834,1346.0,0.55006129955047,0.031875766244380876,0
CML,16,0.5,1,0.01,0.22019967436790466,1329.0,0.5431140171638741,0.03473641193297916,0
CML,16,0.5,5,0.01,0.22003008425235748,1305.0,0.53330608908868,0.0343277482631794,1
CML,16,0.5,10,0.01,0.22356386482715607,1347.0,0.5504699632202698,0.03473641193297916,2
CML,16,1,0,0.01,0.5396262407302856,1166.0,0.4765018389865141,0.025745811197384554,3
CML,16,1,1,0.01,0.5423545837402344,1157.0,0.4728238659583163,0.031058438904781365,4
CML,16,1,5,0.01,0.5433635711669922,1152.0,0.47078054760931753,0.023702492848385777,5
CML,16,1,10,0.01,0.5456296801567078,1183.0,0.4834491213731099,0.026154474867184307,6
CML,16,2,0,0.01,1.255734920501709,905.0,0.3698406211687781,0.008173273395995096,7
CML,16,2,1,0.01,1.257480263710022,875.0,0.35758071107478545,0.01021659174499387,8
CML,16,2,5,0.01,1.2622796297073364,900.0,0.36779730281977935,0.011033919084593379,9
CML,16,2,10,0.01,1.2755824327468872,856.0,0.3498161013485901,0.011851246424192888,10
CML,16,4,0,0.01,3.2625575065612793,864.0,0.3530854107069881,0.011442582754393135,11
CML,16,4,1,0.01,3.2604799270629883,902.0,0.36861463015937884,0.008990600735594606,12
CML,16,4,5,0.01,3.2707154750823975,866.0,0.3539027380465877,0.008173273395995096,13
CML,16,4,10,0.01,3.2731683254241943,907.0,0.37065794850837763,0.013894564773191663,14
CML,64,0.5,0,0.01,0.2314695119857788,1270.0,0.5190028606456886,0.03310175725378014,15
CML,64,0.5,1,0.01,0.23677456378936768,1281.0,0.5234981610134859,0.029423784225582346,16
CML,64,0.5,5,0.01,0.23632819950580597,1289.0,0.526767470371884,0.03596240294237842,17
CML,64,0.5,10,0.01,0.23946630954742432,1303.0,0.5324887617490806,0.037188393951777685,18
CML,64,1,0,0.01,0.5565097332000732,1105.0,0.45157335512872904,0.02043318348998774,19
