model,embedding_dim,margin,lam,lr,loss,hits,hit_rate,full_hr,figname
HyperCML,16,0.2,0,0.01,0.09035550802946091,1213.0,0.4957090314671026,0.026971802206783815,0
HyperCML,16,0.4,0,0.01,0.16577085852622986,1234.0,0.5042909685328975,0.023293829178586023,1
HyperCML,16,0.5,0,0.01,0.21442784368991852,1261.0,0.5153248876174908,0.0298324478953821,2
HyperCML,16,0.8,0,0.01,0.42408251762390137,1144.0,0.4675112382509195,0.026154474867184307,3
HyperCML,16,1.0,0,0.01,0.7169208526611328,980.0,0.4004903964037597,0.0016346546791990192,4
HyperCML,16,0.6,0,0.01,0.29125434160232544,1218.0,0.49775234981610134,0.023702492848385777,0
HyperCML,64,0.2,0,0.01,0.0866357684135437,1226.0,0.5010216591744994,0.059256232120964446,1
HyperCML,64,0.4,0,0.01,0.1653975248336792,1293.0,0.528402125051083,0.06211687780956273,0
HyperCML,64,0.6,0,0.01,0.2729894518852234,1250.0,0.5108295872496935,0.05108295872496935,1
HyperCML,64,0.8,0,0.01,0.4229414761066437,1163.0,0.4752758479771148,0.0380057212913772,2
HyperCML,64,1.0,0,0.01,0.6739548444747925,1005.0,0.41070698814875356,0.007764609726195341,3
HyperCML,256,0.2,0,0.01,0.09400241076946259,1243.0,0.5079689415610952,0.06661217817736004,4
HyperCML,256,0.4,0,0.01,0.17524738609790802,1349.0,0.5512872905598692,0.07396812423375562,5
HyperCML,256,0.6,0,0.01,0.2631654739379883,1289.0,0.526767470371884,0.05312627707396812,6
HyperCML,16,0.1,0,0.01,0.06425928324460983,1202.0,0.4912137310993053,0.024928483857785042,0
HyperCML,16,0.1,0,0.01,0.05574430152773857,1178.0,0.4814058030241112,0.020024519820187985,1
HyperCML,16,0.1,0,0.01,0.05045672133564949,1187.0,0.48508377605230896,0.024519820187985288,2
HyperCML,16,0.1,0,0.001,0.04288705438375473,1261.0,0.5153248876174908,0.03146710257458112,3
HyperCML,16,0.2,0,0.001,0.09544997662305832,1203.0,0.491622394769105,0.029423784225582346,4
HyperCML,16,0.3,0,0.01,0.1284959465265274,1225.0,0.5006129955046996,0.031875766244380876,5
HyperCML,16,0.3,0,0.001,0.15609723329544067,1154.0,0.47159787494891703,0.03228442991418063,6
HyperCML,16,0.4,0,0.001,0.2170095145702362,1147.0,0.46873722926031874,0.026971802206783815,7
HyperCML,16,0.5,0,0.001,0.27977240085601807,1128.0,0.46097261953412344,0.025337147527584796,8
HyperCML,16,0.6,0,0.001,0.34309741854667664,1120.0,0.45770331017572535,0.022067838169186758,9
HyperCML,16,0.7,0,0.01,0.36839601397514343,1141.0,0.4662852472415202,0.023702492848385777,10
HyperCML,16,0.7,0,0.001,0.4020763337612152,1104.0,0.4511646914589293,0.024111156518185534,11
HyperCML,16,0.8,0,0.001,0.4620753824710846,1127.0,0.46056395586432364,0.022476501838986515,12
HyperCML,16,0.1,1,0.01,2.0659379959106445,1160,0.47404985696771557,0.02656313853698406,0
HyperCML,16,0.1,1,0.001,2.0419998168945312,1253,0.5120555782590928,0.028606456885982835,1
