model,embedding_dim,margin,lam,lr,loss,hits,hit_rate,full_hr,figname
HyperCML,16,0.1,1,0.01,2.065293312072754,1179,0.4818144666939109,0.02656313853698406,0
HyperCML,16,0.1,1,0.001,2.042482376098633,1245,0.5087862689006948,0.03351042092357989,1
HyperCML,16,0.2,1,0.01,2.1004135608673096,1190,0.4863097670617082,0.031875766244380876,2
HyperCML,16,0.2,1,0.001,2.084707021713257,1237,0.5055169595422967,0.03310175725378014,3
HyperCML,16,0.3,1,0.01,2.1302714347839355,1233,0.5038823048630977,0.03310175725378014,4
HyperCML,16,0.3,1,0.001,2.1316945552825928,1259,0.5145075602778912,0.026971802206783815,5
HyperCML,16,0.4,1,0.01,2.1701011657714844,1246,0.5091949325704945,0.03596240294237842,6
HyperCML,16,0.4,1,0.001,2.238389253616333,1052,0.42991418062934206,0.02043318348998774,7
HyperCML,16,0.5,1,0.01,2.2091615200042725,1268,0.5181855333060891,0.033919084593379646,8
HyperCML,16,0.5,1,0.001,2.2966601848602295,1051,0.4295055169595423,0.01879852881078872,9
HyperCML,16,0.6,1,0.01,2.252908229827881,1283,0.5243154883530854,0.030241111565181854,10
HyperCML,16,0.6,1,0.001,2.354569435119629,1053,0.4303228442991418,0.016755210461789946,11
HyperCML,16,0.7,1,0.01,2.3064656257629395,1292,0.5279934613812832,0.03351042092357989,12
HyperCML,16,0.7,1,0.001,2.4149744510650635,1052,0.42991418062934206,0.015529219452390683,13
HyperCML,16,0.8,1,0.01,2.4739065170288086,1075,0.4393134450347364,0.01798120147118921,14
HyperCML,16,0.8,1,0.001,2.47438907623291,1072,0.43808745402533716,0.017572537801389457,15
HyperCML,16,0.9,1,0.01,2.532252550125122,1068,0.4364527993461381,0.020024519820187985,16
HyperCML,16,0.9,1,0.001,2.5334627628326416,1045,0.4270535349407438,0.02043318348998774,17
HyperCML,16,1.0,1,0.01,2.5927209854125977,1054,0.43073150796894155,0.014711892112791173,18
HyperCML,16,1.0,1,0.001,2.588209629058838,1064,0.43481814466693913,0.016346546791990192,19
HyperCML,64,0.1,1,0.01,2.0592432022094727,1122,0.4585206375153249,0.042909685328974254,20
HyperCML,64,0.1,1,0.001,2.041851282119751,1261,0.5153248876174908,0.05353494074376788,21
HyperCML,64,0.2,1,0.01,2.100872278213501,1137,0.4646505925623212,0.04863097670617082,22
HyperCML,64,0.2,1,0.001,2.0810818672180176,1332,0.5443400081732734,0.05312627707396812,23
HyperCML,64,0.3,1,0.01,2.1465511322021484,1135,0.4638332652227217,0.05435226808336739,24
HyperCML,64,0.3,1,0.001,2.1289350986480713,1283,0.5243154883530854,0.04168369431957499,25
HyperCML,64,0.4,1,0.01,2.195610761642456,1241,0.5071516142214957,0.058030241111565184,26
HyperCML,64,0.4,1,0.001,2.2378056049346924,1062,0.4340008173273396,0.022476501838986515,27
HyperCML,64,0.5,1,0.01,2.2435567378997803,1298,0.5304454434000817,0.06252554147936248,28
HyperCML,64,0.5,1,0.001,2.2967910766601562,1074,0.43890478136493666,0.019207192480588477,29
HyperCML,64,0.6,1,0.01,2.2854390144348145,1334,0.5451573355128729,0.05884756845116469,30
HyperCML,64,0.6,1,0.001,2.3561413288116455,1065,0.4352268083367389,0.02125051082958725,31
HyperCML,64,0.7,1,0.01,2.328512191772461,1344,0.5492439722108704,0.05557825909276665,32
HyperCML,64,0.7,1,0.001,2.4142420291900635,1075,0.4393134450347364,0.01798120147118921,33
HyperCML,64,0.8,1,0.01,2.4748411178588867,1072,0.43808745402533716,0.02043318348998774,34
HyperCML,64,0.8,1,0.001,2.4739999771118164,1077,0.4401307723743359,0.02043318348998774,35
HyperCML,64,0.9,1,0.01,2.534238815307617,1057,0.43195749897834085,0.014711892112791173,36
HyperCML,64,0.9,1,0.001,2.5337281227111816,1066,0.4356354720065386,0.01961585615038823,37
HyperCML,64,1.0,1,0.01,2.589280843734741,1060,0.4331834899877401,0.016346546791990192,38
HyperCML,64,1.0,1,0.001,2.590367555618286,1049,0.42868818961994276,0.01879852881078872,39
HyperCML,256,0.1,1,0.01,2.05309796333313,1087,0.4442174090723335,0.03882304863097671,40
HyperCML,256,0.1,1,0.001,2.0440382957458496,1315,0.5373927257866775,0.07110747854515734,41
HyperCML,256,0.2,1,0.01,2.1134796142578125,1072,0.43808745402533716,0.052308949734368615,42
HyperCML,256,0.2,1,0.001,2.082644462585449,1351,0.5521046178994687,0.061708214139762976,43
HyperCML,256,0.3,1,0.01,2.188809633255005,1130,0.46178994687372293,0.06579485083776053,44
HyperCML,256,0.3,1,0.001,2.128101348876953,1306,0.5337147527584798,0.05149162239476911,45
HyperCML,256,0.4,1,0.01,2.2416982650756836,1222,0.4993870044953004,0.0760114425827544,46
HyperCML,256,0.4,1,0.001,2.2365193367004395,1082,0.4421740907233347,0.023702492848385777,47
